occurrenceID,eventID,basisOfRecord,institutionCode,collectionCode,datasetName,ownerInstitutionCode,language,scientificName,kingdom,phylum,class,order,family,genus,decimalLatitude,decimalLongtitude,geodeticDatum
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20180123_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20180123,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.6666666665,566458.2333333334,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20190124_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20190124,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.666666666,566459.0666666668,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20190124_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20190124,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566458.35,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20190124_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20190124,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566459.2,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20190124_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20190124,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.6666666665,566458.2333333334,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20200204_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20200204,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.666666666,566459.0666666668,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20200204_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20200204,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566458.35,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20200204_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20200204,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566459.2,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20200204_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20200204,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.6666666665,566458.2333333334,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20210211_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20210211,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.666666666,566459.0666666668,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20210211_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20210211,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566458.35,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20210211_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20210211,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566459.2,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20210211_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20210211,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.6666666665,566458.2333333334,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20220128_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20220128,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.666666666,566459.0666666668,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20220128_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20220128,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566458.35,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20220128_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20220128,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566459.2,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20220128_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20220128,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.6666666665,566458.2333333334,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20230112_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QN_20230112,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.666666666,566459.0666666668,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20230112_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20230112,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566458.35,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20230112_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20230112,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472,566459.2,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20230112_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20230112,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076472.6666666665,566458.2333333334,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE_20100323_01,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE_20100323,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076474.3333333335,566456.9666666667,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QS_20100323_01,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QS_20100323,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076474.333333333,566456.0666666667,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QW_20100323_01,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QW_20100323,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076475.333333334,566456.2666666667,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QN_20100323_01,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QN_20100323,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076475.333333333,566457.0666666667,epsg:25830
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE_20110208_01,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE_20110208,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,4076474.3333333335,566456.9666666667,epsg:25830
