"","eventID","parentEventID","eventDate","samplingProtocol","sampleSizeValue","sampleSizeUnit","footprintWKT","footprintSRS","countryCode","stateProvinde","municipality","location","fieldNumber","fieldNotes"
"36","CSIC-EEZ:SERPAM:AMOLADERAS_A14_QS","CSIC-EEZ:SERPAM:AMOLADERAS_A14","","Quadrat count",0.25,"m^2","POLYGON ((566467.6 4076477, 566467.3 4076476, 566466.9 4076477, 566467.2 4076477, 566467.6 4076477))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 1 | G-C-","rabbit and livestock excluded"
"37","CSIC-EEZ:SERPAM:AMOLADERAS_A14_QW","CSIC-EEZ:SERPAM:AMOLADERAS_A14","","Quadrat count",0.25,"m^2","POLYGON ((566467.5 4076478, 566467.2 4076477, 566466.8 4076477, 566467.1 4076478, 566467.5 4076478))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 1 | G-C-","rabbit and livestock excluded"
"38","CSIC-EEZ:SERPAM:AMOLADERAS_A14_QN","CSIC-EEZ:SERPAM:AMOLADERAS_A14","","Quadrat count",0.25,"m^2","POLYGON ((566468 4076477, 566467.7 4076478, 566468 4076478, 566468.4 4076478, 566468 4076477))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 1 | G-C-","rabbit and livestock excluded"
"39","CSIC-EEZ:SERPAM:AMOLADERAS_A13_QS","CSIC-EEZ:SERPAM:AMOLADERAS_A13","","Quadrat count",0.25,"m^2","POLYGON ((566458.2 4076482, 566457.8 4076481, 566457.6 4076482, 566458 4076482, 566458.2 4076482))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 2 | G-C+","livestock excluded"
"40","CSIC-EEZ:SERPAM:AMOLADERAS_A13_QW","CSIC-EEZ:SERPAM:AMOLADERAS_A13","","Quadrat count",0.25,"m^2","POLYGON ((566457.2 4076482, 566457.4 4076482, 566457 4076482, 566456.8 4076482, 566457.2 4076482))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 2 | G-C+","livestock excluded"
"41","CSIC-EEZ:SERPAM:AMOLADERAS_A13_QN","CSIC-EEZ:SERPAM:AMOLADERAS_A13","","Quadrat count",0.25,"m^2","POLYGON ((566457.7 4076483, 566457.3 4076482, 566457 4076483, 566457.4 4076483, 566457.7 4076483))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 2 | G-C+","livestock excluded"
"42","CSIC-EEZ:SERPAM:AMOLADERAS_A13_QE","CSIC-EEZ:SERPAM:AMOLADERAS_A13","","Quadrat count",0.25,"m^2","POLYGON ((566458.1 4076482, 566457.9 4076483, 566458.3 4076483, 566458.5 4076482, 566458.1 4076482))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 2 | G-C+","livestock excluded"
"43","CSIC-EEZ:SERPAM:AMOLADERAS_A20_QN","CSIC-EEZ:SERPAM:AMOLADERAS_A20","","Quadrat count",0.25,"m^2","POLYGON ((566791.2 4076540, 566791.7 4076540, 566791.7 4076539, 566791.2 4076539, 566791.2 4076540))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 3 | G+C+","herbivorism (sheep, rabbit)"
"44","CSIC-EEZ:SERPAM:AMOLADERAS_A20_QS","CSIC-EEZ:SERPAM:AMOLADERAS_A20","","Quadrat count",0.25,"m^2","POLYGON ((566791.1 4076538, 566791.6 4076538, 566791.5 4076538, 566791.1 4076538, 566791.1 4076538))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 3 | G+C+","herbivorism (sheep, rabbit)"
"45","CSIC-EEZ:SERPAM:AMOLADERAS_A20_QW","CSIC-EEZ:SERPAM:AMOLADERAS_A20","","Quadrat count",0.25,"m^2","POLYGON ((566791.1 4076539, 566791.1 4076539, 566790.5 4076539, 566790.6 4076539, 566791.1 4076539))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 3 | G+C+","herbivorism (sheep, rabbit)"
"46","CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN","CSIC-EEZ:SERPAM:AMOLADERAS_A21","","Quadrat count",0.25,"m^2","POLYGON ((566787.1 4076548, 566787.6 4076548, 566787.8 4076548, 566787.3 4076548, 566787.1 4076548))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 3 | G-C+","livestock excluded"
"47","CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE","CSIC-EEZ:SERPAM:AMOLADERAS_A21","","Quadrat count",0.25,"m^2","POLYGON ((566788 4076548, 566788.4 4076548, 566788.6 4076548, 566788.2 4076547, 566788 4076548))","epsg:25830","ES","AL","Cabo de Gata","Amoladeras","Bloque 3 | G-C+","livestock excluded"
