eventID,parentEventID,eventDate,samplingProtocol,sampleSizeValue,sampleSizeUnit,footprintWKT,footprintSRS,countryCode,stateProvinde,municipality,location,fieldNumber,fieldNotes
CSIC-EEZ:SERPAM:AMOLADERAS_A14_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A14,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.254611 36.83184, -2.254616 36.83184, -2.254612 36.83185, -2.254608 36.83184, -2.254611 36.83184))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 1 | G-C-,rabbit and livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A13_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A13,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.254721 36.83188, -2.254726 36.83188, -2.254729 36.83188, -2.254724 36.83188, -2.254721 36.83188))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A13_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A13,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.254733 36.83189, -2.25473 36.83188, -2.254735 36.83188, -2.254738 36.83188, -2.254733 36.83189))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A13_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A13,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.254727 36.83189, -2.254732 36.83189, -2.254735 36.83189, -2.25473 36.83189, -2.254727 36.83189))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A13_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A13,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.254722 36.83189, -2.254725 36.83189, -2.254721 36.83189, -2.254718 36.83189, -2.254722 36.83189))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 2 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A20,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.250982 36.83238, -2.250977 36.83238, -2.250977 36.83237, -2.250982 36.83237, -2.250982 36.83238))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A20,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.250984 36.83237, -2.250978 36.83237, -2.250979 36.83236, -2.250984 36.83236, -2.250984 36.83237))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A20_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A20,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.250984 36.83237, -2.250984 36.83237, -2.25099 36.83237, -2.250989 36.83237, -2.250984 36.83237))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G+C+,"herbivorism (sheep, rabbit)"
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A21,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.251028 36.83246, -2.251022 36.83246, -2.25102 36.83245, -2.251025 36.83245, -2.251028 36.83246))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C+,livestock excluded
CSIC-EEZ:SERPAM:AMOLADERAS_A21_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A21,NA,Quadrat count,0.25,m^2,"POLYGON ((-2.251017 36.83245, -2.251013 36.83245, -2.25101 36.83245, -2.251015 36.83245, -2.251017 36.83245))",epsg:4326,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C+,livestock excluded
