occurrenceID,eventID,basisOfRecord,institutionCode,collectionCode,datasetName,ownerInstitutionCode,language,scientificName,kingdom,phylum,class,order,family,genus,taxonRank,decimalLatitude,decimalLongitude,geodeticDatum
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20230112_01,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20230112,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,species,36.831799999999994,-2.254722,epsg:4326
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE_20100323_01,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE_20100323,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,species,36.831813333333336,-2.2547360000000003,epsg:4326
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QS_20100323_01,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QS_20100323,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,species,36.831815185185185,-2.254745814814814,epsg:4326
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QW_20100323_01,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QW_20100323,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,species,36.831823333333325,-2.2547436666666667,epsg:4326
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QN_20100323_01,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QN_20100323,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,species,36.831823333333325,-2.2547343333333334,epsg:4326
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE_20110208_01,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE_20110208,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,species,36.831813333333336,-2.2547360000000003,epsg:4326
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QS_20110208_01,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QS_20110208,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,species,36.831815185185185,-2.254745814814814,epsg:4326
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QW_20110208_01,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QW_20110208,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,species,36.831823333333325,-2.2547436666666667,epsg:4326
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QN_20110208_01,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QN_20110208,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,species,36.831823333333325,-2.2547343333333334,epsg:4326
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE_20120121_01,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE_20120121,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,species,36.831813333333336,-2.2547360000000003,epsg:4326
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QS_20120121_01,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QS_20120121,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,species,36.831815185185185,-2.254745814814814,epsg:4326
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QW_20120121_01,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QW_20120121,Occurrence,CSIC-EEZ,SERPAM,AMOLADERAS,AMOLADERAS,es,Androcymbium europaeum (Lange) K.Richt.,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Colchicum,species,36.831823333333325,-2.2547436666666667,epsg:4326
